Champion,Game,Win rate
Gnar,77,53.2%
Jayce,51,60.8%
Maokai,43,53.5%
Aatrox,40,65%
Gangplank,36,44.4%
Renekton,35,51.4%
Gragas,35,65.7%
Vladimir,34,44.1%
Rumble,34,52.9%
Ornn,30,46.7%
Gwen,25,72%
Sion,25,56%
Kennen,24,54.2%
Shen,23,34.8%
Poppy,21,61.9%
Graves,20,70%
Camille,19,42.1%
Sett,17,47.1%
Fiora,17,52.9%
Akali,16,56.3%
Ekko,16,43.8%
Jax,14,64.3%
Ryze,14,35.7%
Yorick,13,76.9%
Jarvan IV,13,69.2%
Fizz,12,58.3%
Irelia,12,58.3%
Mordekaiser,9,44.4%
Hecarim,9,77.8%
Sejuani,8,50%
Morgana,8,75%
Chogath,8,37.5%
Trundle,8,87.5%
Aurora,8,100%
Ambessa,8,62.5%
KSante,7,71.4%
RekSai,7,57.1%
Twisted Fate,7,71.4%
Quinn,7,42.9%
Urgot,6,16.7%
Wukong,6,33.3%
Nautilus,6,33.3%
Singed,6,50%
Kled,5,40%
Udyr,5,60%
Karma,5,60%
Nocturne,4,50%
Riven,4,50%
Kassadin,4,75%
Viktor,4,75%
Dr. Mundo,4,25%
Nasus,4,50%
Galio,4,75%
Kayle,3,66.7%
Volibear,3,33.3%
Nidalee,3,33.3%
Malphite,3,66.7%
Darius,3,100%
Yasuo,3,0%
Lucian,2,100%
Shyvana,2,50%
Skarner,2,100%
Neeko,2,100%
Zac,2,50%
Pyke,2,50%
Lulu,2,50%
Tahm Kench,2,50%
Smolder,2,100%
Malzahar,2,100%
Sylas,2,50%
Lissandra,2,0%
Qiyana,2,50%
Olaf,1,0%
Garen,1,0%
Diana,1,0%
Cassiopeia,1,0%
Yone,1,100%
Tryndamere,1,0%
Annie,1,100%
Viego,1,100%
Lee Sin,1,100%
Corki,1,0%
Pantheon,1,0%
Janna,1,0%
Kalista,1,0%
