Champion,Game,Win rate
Leona,62,58.1%
Nautilus,45,48.9%
Rell,39,59%
Tahm Kench,37,59.5%
Renata Glasc,32,68.8%
Braum,26,42.3%
Lulu,24,20.8%
Rakan,23,52.2%
Alistar,16,50%
Nami,16,56.3%
Thresh,15,60%
Karma,13,38.5%
Neeko,12,66.7%
Yuumi,11,45.5%
Milio,11,45.5%
Maokai,10,60%
Bard,9,77.8%
Heimerdinger,8,50%
Ashe,7,71.4%
Poppy,6,66.7%
Seraphine,5,80%
Blitzcrank,5,60%
Lux,3,66.7%
Elise,2,0%
Shen,2,50%
Caitlyn,2,50%
Galio,2,100%
Senna,1,0%
Pantheon,1,100%
Jhin,1,0%
Annie,1,100%
Sona,1,100%
Kalista,1,0%
Amumu,1,0%
Zilean,1,0%
Trundle,1,100%
Gragas,1,0%
