Champion,Game,Win rate
Azir,59,50.8%
Ryze,48,58.3%
Orianna,33,54.5%
Sylas,31,67.7%
Annie,23,65.2%
Corki,23,30.4%
LeBlanc,23,56.5%
Tristana,22,54.5%
Yone,19,52.6%
Taliyah,19,57.9%
Syndra,15,53.3%
Galio,14,64.3%
Viktor,13,30.8%
Akali,11,54.5%
Cassiopeia,11,63.6%
Twisted Fate,11,36.4%
Ahri,10,30%
Jayce,9,66.7%
Lissandra,9,22.2%
Karma,7,28.6%
Swain,6,16.7%
Aurora,6,100%
Irelia,5,20%
Zoe,5,60%
Lucian,5,60%
Renekton,4,50%
Veigar,3,66.7%
Draven,2,0%
Hwei,2,0%
Gangplank,1,100%
Neeko,1,0%
Zeri,1,100%
Smolder,1,0%
Gragas,1,100%
KSante,1,100%
Kassadin,1,0%
Ekko,1,0%
Tryndamere,1,0%
Yasuo,1,0%
Nocturne,1,0%
Viego,1,100%
