Champion,Game,Win rate
Sejuani,86,65.1%
Lee Sin,67,52.2%
Xin Zhao,53,67.9%
Wukong,46,56.5%
Olaf,45,48.9%
Trundle,40,65%
Maokai,40,67.5%
Jarvan IV,32,62.5%
Viego,26,42.3%
Poppy,25,60%
Volibear,24,62.5%
Nocturne,23,65.2%
Elise,22,59.1%
Nidalee,21,33.3%
Vi,20,75%
Zac,19,63.2%
Lillia,18,50%
Brand,15,53.3%
Skarner,15,73.3%
Pantheon,14,78.6%
Gragas,12,50%
Diana,11,54.5%
RekSai,10,40%
Graves,10,50%
Taliyah,10,70%
Naafiri,10,90%
Karthus,8,37.5%
Hecarim,8,50%
Udyr,7,42.9%
KhaZix,6,66.7%
Aatrox,5,80%
Kindred,5,0%
Camille,5,60%
Rell,4,75%
Rumble,4,25%
Zyra,4,0%
Ivern,3,33.3%
Qiyana,3,100%
Evelynn,3,100%
Braum,3,33.3%
Sett,2,50%
Zed,2,50%
Gwen,1,0%
Ekko,1,0%
Kayn,1,0%
Sylas,1,100%
Master Yi,1,100%
Morgana,1,100%
Amumu,1,0%
Shen,1,0%
Shyvana,1,0%
