Champion,Game,Win rate
Rakan,85,71.8%
Nautilus,66,63.6%
Rell,66,66.7%
Alistar,49,69.4%
Renata Glasc,42,61.9%
Leona,35,42.9%
Lulu,27,55.6%
Thresh,26,57.7%
Nami,25,72%
Tahm Kench,24,58.3%
Braum,19,47.4%
Blitzcrank,18,50%
Neeko,14,85.7%
Karma,11,72.7%
Ashe,11,54.5%
Lux,10,60%
Milio,9,66.7%
Elise,7,85.7%
Bard,7,71.4%
Yuumi,6,33.3%
Galio,6,83.3%
Poppy,5,40%
Ornn,5,80%
Pyke,5,60%
Maokai,4,75%
Gragas,3,66.7%
Shen,2,100%
Kalista,2,0%
Camille,2,50%
Caitlyn,2,50%
Heimerdinger,2,100%
Sett,2,0%
Trundle,2,50%
Seraphine,2,100%
Annie,1,100%
Ezreal,1,100%
Yasuo,1,100%
Senna,1,0%
Zac,1,0%
Jarvan IV,1,0%
Taric,1,0%
Pantheon,1,100%
