Champion,Game,Win rate
Sejuani,43,69.8%
Vi,32,68.8%
Wukong,28,71.4%
Xin Zhao,27,63%
Skarner,26,69.2%
Maokai,21,76.2%
Jarvan IV,16,56.3%
Zyra,14,92.9%
Viego,13,53.8%
Trundle,11,81.8%
Poppy,11,54.5%
Lillia,10,80%
Nocturne,9,55.6%
Kindred,9,66.7%
Rell,7,85.7%
RekSai,6,16.7%
Nidalee,6,66.7%
Pantheon,5,80%
Graves,5,100%
Gragas,5,60%
Lee Sin,4,100%
Olaf,4,25%
Volibear,3,33.3%
Zac,2,50%
Karthus,2,50%
Nunu,1,0%
Elise,1,100%
KhaZix,1,0%
Ivern,1,100%
Diana,1,100%
Rumble,1,100%
Taliyah,1,0%
Dr. Mundo,1,100%
