Champion,Game,Win rate
Orianna,32,53.1%
Ahri,29,51.7%
Azir,27,51.9%
Syndra,22,40.9%
Taliyah,21,76.2%
LeBlanc,16,31.3%
Sylas,14,71.4%
Jayce,11,63.6%
Viktor,10,20%
Hwei,9,22.2%
Akali,8,75%
Ryze,8,12.5%
Annie,8,50%
Zoe,7,71.4%
Lissandra,6,66.7%
Aurora,5,60%
Ekko,4,50%
Corki,4,25%
Kassadin,4,25%
Tristana,3,33.3%
Irelia,3,0%
Lee Sin,2,100%
Viego,2,100%
Galio,2,0%
Karma,2,100%
Cassiopeia,2,50%
Neeko,2,50%
Lucian,2,0%
Zed,1,100%
Vex,1,0%
Zeri,1,100%
Yone,1,0%
Mordekaiser,1,0%
Jhin,1,100%
Varus,1,100%
Ornn,1,0%
Seraphine,1,0%
Gragas,1,0%
