Champion,Game,Win rate
LeBlanc,52,69.2%
Syndra,51,70.6%
Orianna,47,61.7%
Azir,47,63.8%
Corki,43,72.1%
Ryze,40,65%
Sylas,36,66.7%
Taliyah,35,65.7%
Tristana,33,63.6%
Ahri,31,54.8%
Zoe,27,66.7%
Akali,26,53.8%
Cassiopeia,24,54.2%
Twisted Fate,22,54.5%
Jayce,16,68.8%
Lucian,16,62.5%
Annie,15,66.7%
Viktor,14,57.1%
Irelia,14,71.4%
Yasuo,14,64.3%
Neeko,13,76.9%
Aurelion Sol,13,61.5%
Yone,11,63.6%
Galio,11,63.6%
Lissandra,10,70%
Swain,9,55.6%
Hwei,9,66.7%
Ezreal,8,87.5%
Aphelios,7,57.1%
Ekko,7,71.4%
Aurora,7,42.9%
Vladimir,6,33.3%
Senna,5,100%
Malzahar,5,80%
Kassadin,5,40%
Karma,5,60%
KogMaw,4,75%
Gwen,4,75%
Miss Fortune,4,50%
Anivia,4,50%
Renekton,4,75%
Nautilus,4,100%
Aatrox,4,100%
Kaisa,3,66.7%
KSante,3,33.3%
Veigar,3,33.3%
Smolder,3,100%
Varus,3,66.7%
Gragas,2,50%
Kayle,2,50%
Camille,2,50%
Malphite,2,50%
Sejuani,2,100%
Zeri,2,0%
Nocturne,2,50%
Seraphine,2,50%
Vayne,2,100%
Zed,2,0%
Ziggs,2,50%
Wukong,2,100%
Pyke,2,50%
Morgana,2,50%
Qiyana,2,100%
Kled,1,100%
Fizz,1,0%
Urgot,1,100%
Talon,1,100%
Sion,1,100%
Rumble,1,0%
Draven,1,100%
Zac,1,100%
Xayah,1,100%
Katarina,1,0%
Viego,1,0%
Kalista,1,100%
Kayn,1,100%
