Champion,Game,Win rate
Nautilus,44,47.7%
Leona,41,48.8%
Rakan,41,53.7%
Rell,38,55.3%
Braum,23,56.5%
Renata Glasc,21,66.7%
Thresh,17,29.4%
Alistar,16,25%
Tahm Kench,15,60%
Bard,14,57.1%
Poppy,12,75%
Milio,9,66.7%
Neeko,9,55.6%
Galio,8,50%
Nami,7,42.9%
Maokai,7,71.4%
Seraphine,5,60%
Lulu,5,20%
Yuumi,4,0%
Elise,3,33.3%
Karma,3,0%
Pantheon,3,33.3%
Sett,3,33.3%
Ashe,3,33.3%
Lux,3,66.7%
Blitzcrank,3,33.3%
Pyke,2,50%
Veigar,2,50%
Rumble,2,0%
Zilean,2,0%
Taric,2,50%
Hwei,1,0%
Amumu,1,100%
Gragas,1,0%
Soraka,1,100%
Lillia,1,0%
Heimerdinger,1,0%
