Champion,Game,Win rate
Azir,98,69.4
Corki,64,78.1
Sylas,60,73.3
Ahri,54,77.8
Zoe,43,65.1
LeBlanc,40,62.5
Galio,39,71.8
Orianna,33,57.6
Ryze,32,53.1
Akali,32,71.9
Yone,32,81.3
Viktor,29,58.6
Tristana,25,76
Irelia,24,50
Taliyah,23,82.6
Twisted Fate,22,54.5
Lucian,17,82.4
Lissandra,17,58.8
Sett,16,50
Annie,15,73.3
Aatrox,15,80
Jayce,12,58.3
Rumble,10,60
Aurelion Sol,9,66.7
Renekton,8,75
Hwei,8,50
Aurora,8,75
Yasuo,8,75
Sion,8,75
KSante,6,66.7
Smolder,6,83.3
Kassadin,5,100
Camille,5,80
Neeko,5,80
Vex,4,100
VelKoz,4,25
Draven,4,75
Gragas,4,75
Nautilus,4,75
Ekko,3,66.7
Veigar,3,33.3
Nocturne,3,100
Zeri,3,66.7
Ziggs,3,66.7
Ornn,3,33.3
Urgot,2,100
Syndra,2,0
Qiyana,2,100
Fiora,2,100
Talon,2,50
Viego,2,50
Tryndamere,2,0
Morgana,2,50
Lulu,2,50
Karma,2,50
Vladimir,2,50
Garen,1,100
Ambessa,1,0
Mel,1,0
Lee Sin,1,0
Volibear,1,0
Lillia,1,100
Taric,1,100
Swain,1,0
Kalista,1,0
Gangplank,1,0
Quinn,1,100
Fizz,1,0
Poppy,1,0
Ezreal,1,100
