Champion,Game,Win rate
Nautilus,49,49%
Rakan,47,61.7%
Alistar,34,52.9%
Rell,30,60%
Leona,22,54.5%
Braum,22,77.3%
Lulu,19,42.1%
Blitzcrank,17,76.5%
Renata Glasc,15,60%
Milio,11,45.5%
Nami,9,66.7%
Karma,9,11.1%
Heimerdinger,9,66.7%
Thresh,7,42.9%
Pyke,7,57.1%
Yuumi,6,50%
Tahm Kench,6,83.3%
Poppy,5,80%
Senna,4,50%
Neeko,4,75%
Ashe,3,66.7%
Bard,3,100%
Annie,2,100%
Sett,2,100%
Seraphine,2,0%
Shen,1,0%
Pantheon,1,0%
Camille,1,100%
Elise,1,0%
Maokai,1,100%
Ornn,1,100%
Gragas,1,100%
Taric,1,0%
Zyra,1,0%
Galio,1,0%
