Champion,Game,Win rate
Renekton,76,60.5%
K'Sante,66,74.2%
Gnar,62,46.8%
Jayce,58,56.9%
Aatrox,52,55.8%
Gangplank,49,61.2%
Jax,45,64.4%
Camille,42,50%
Gwen,36,58.3%
Kennen,31,54.8%
Rumble,29,72.4%
Ornn,29,44.8%
Ryze,27,66.7%
Gragas,23,43.5%
Sion,23,60.9%
Akali,22,45.5%
Urgot,14,28.6%
Lucian,14,42.9%
Darius,13,53.8%
Mordekaiser,13,69.2%
Udyr,12,75%
Malphite,11,81.8%
Twisted Fate,11,81.8%
Aurora,10,80%
Sylas,9,33.3%
Vladimir,9,66.7%
Fiora,8,50%
Irelia,8,37.5%
Viego,8,50%
Quinn,8,62.5%
Poppy,7,71.4%
Graves,7,57.1%
Ambessa,7,100%
Sett,7,42.9%
Kayle,6,50%
Kalista,5,60%
Skarner,5,100%
Maokai,5,20%
Vayne,5,60%
Viktor,5,0%
Shen,4,25%
Wukong,4,50%
Nasus,4,75%
Hecarim,3,33.3%
Jarvan IV,3,0%
Kled,3,66.7%
Dr. Mundo,3,0%
Cho'Gath,3,100%
Tryndamere,3,66.7%
Sejuani,3,0%
Rek'Sai,2,0%
Nidalee,2,100%
Tristana,2,100%
Nocturne,2,100%
Lee Sin,2,50%
Akshan,1,0%
Olaf,1,100%
Zac,1,100%
Karma,1,0%
Corki,1,100%
Garen,1,100%
Neeko,1,0%
Galio,1,100%
Yasuo,1,0%
