Champion,Game,Win rate
Vi,49,59.2%
Sejuani,40,50%
Lee Sin,33,48.5%
Graves,27,55.6%
Trundle,24,54.2%
Wukong,22,45.5%
Viego,20,65%
Xin Zhao,20,70%
Ivern,17,52.9%
Maokai,17,52.9%
Volibear,17,70.6%
Jarvan IV,17,41.2%
Poppy,15,66.7%
Udyr,13,53.8%
Qiyana,10,90%
Rumble,10,50%
Hecarim,9,44.4%
Gragas,9,44.4%
Pantheon,8,50%
Olaf,8,87.5%
Nidalee,8,62.5%
Skarner,8,50%
Lillia,8,37.5%
Belveth,7,57.1%
Zyra,7,57.1%
Naafiri,6,50%
Rell,6,33.3%
Morgana,5,60%
Karthus,5,60%
Brand,5,40%
Diana,4,50%
Taliyah,4,50%
Elise,4,75%
Zac,3,66.7%
Nocturne,3,0%
Kindred,2,0%
Amumu,2,0%
RekSai,2,50%
Gwen,1,0%
Kayn,1,100%
Sett,1,100%
Jax,1,0%
Rengar,1,0%
