Champion,Game,Win rate
KSante,33,48.5%
Gwen,31,51.6%
Karma,14,71.4%
Gnar,14,42.9%
Ambessa,13,61.5%
Jayce,12,41.7%
Gragas,11,27.3%
Rumble,10,60%
Akali,10,80%
Ornn,8,37.5%
Twisted Fate,8,75%
Aurora,8,62.5%
Varus,8,87.5%
Sejuani,8,50%
Poppy,7,57.1%
Zeri,7,71.4%
Nidalee,6,50%
Kennen,6,50%
Camille,6,66.7%
Ahri,5,20%
Sion,5,40%
Renekton,5,40%
Irelia,4,25%
Chogath,4,25%
Aatrox,4,0%
Smolder,3,33.3%
Neeko,3,66.7%
Galio,3,33.3%
Gangplank,3,0%
Malphite,3,66.7%
Yone,3,66.7%
Shyvana,2,50%
Lulu,2,0%
Udyr,2,50%
Jax,1,0%
Vex,1,100%
Annie,1,0%
Corki,1,100%
Skarner,1,100%
Yasuo,1,100%
Zac,1,0%
Fiddlesticks,1,0%
Lee Sin,1,0%
Kayle,1,100%
Lucian,1,0%
Graves,1,0%
