Champion,Game,Win rate
Ahri,36,52.8%
Azir,31,71%
Sylas,30,56.7%
Yone,26,50%
Ryze,23,43.5%
Corki,21,47.6%
LeBlanc,19,47.4%
Akali,18,50%
Viktor,17,58.8%
Taliyah,15,66.7%
Lucian,12,58.3%
Twisted Fate,11,45.5%
Jayce,11,36.4%
Tristana,9,55.6%
Orianna,9,44.4%
Lulu,8,75%
Sett,8,37.5%
Lissandra,6,66.7%
Syndra,5,40%
Lee Sin,5,60%
Renekton,4,100%
Galio,4,100%
Neeko,4,75%
Yasuo,4,50%
Irelia,3,100%
Tryndamere,3,33.3%
Aurora,3,33.3%
Kassadin,2,100%
Zeri,2,50%
Hwei,2,50%
Aurelion Sol,2,50%
Zoe,2,50%
Veigar,2,50%
Swain,2,100%
Gragas,1,100%
Smolder,1,0%
Nasus,1,100%
Cassiopeia,1,100%
Karma,1,0%
Vayne,1,0%
Kaisa,1,0%
Annie,1,0%
Ezreal,1,0%
Zed,1,0%
