Champion,Game,Win rate
Azir,183,68.3%
Orianna,98,69.4%
Corki,80,66.3%
Ryze,76,63.2%
Ahri,69,69.6%
LeBlanc,64,81.3%
Galio,55,63.6%
Taliyah,50,68%
Lissandra,49,79.6%
Viktor,47,74.5%
Lulu,35,57.1%
Twisted Fate,34,70.6%
Zoe,33,57.6%
Akali,33,66.7%
Kassadin,32,62.5%
Cassiopeia,32,75%
Sylas,27,66.7%
Tristana,26,53.8%
Karma,26,42.3%
Neeko,22,63.6%
Gragas,18,83.3%
Jayce,16,62.5%
Yasuo,16,56.3%
Syndra,14,78.6%
Annie,12,75%
Ezreal,12,83.3%
Zed,12,91.7%
Nidalee,12,75%
Irelia,11,54.5%
Lucian,11,72.7%
Anivia,10,80%
Fizz,10,90%
Vladimir,10,30%
Zilean,10,90%
Malzahar,10,70%
