Champion,Game,Win rate
Nautilus,62,62.9%
Tahm Kench,51,74.5%
Thresh,50,64%
Leona,50,58%
Braum,46,63%
Rakan,40,50%
Nami,35,74.3%
Alistar,35,62.9%
Renata Glasc,33,81.8%
Lulu,29,51.7%
Yuumi,28,75%
Rell,26,42.3%
Bard,21,76.2%
Karma,18,55.6%
Pyke,17,70.6%
Lux,16,81.3%
Ashe,15,86.7%
Senna,11,54.5%
Morgana,11,72.7%
Gragas,10,70%
Nico,9,88.9%
Ornn,8,100%
Milio,7,71.4%
Kalista,6,100%
Pantheon,6,33.3%
Galio,6,50%
Blitzcrank,6,33.3%
Zilean,6,50%
Taric,5,60%
Sett,5,60%
Trundle,5,60%
Maokai,4,75%
Rumble,4,75%
Sejuani,4,50%
Poppy,4,50%
Soraka,4,50%
Seraphine,3,33.3%
Camille,3,33.3%
Amumu,3,33.3%
Caitlyn,3,100%
Volibear,2,50%
Aphelios,2,50%
Lee Sin,2,50%
Sion,2,50%
Jhin,2,100%
Shen,2,0%
Wukong,2,50%
