Champion,WinRate,PickRate,BanRate
Senna,53.21%,23.69%,30.13%
Lucian,49.64%,15.54%,11.29%
Kai'Sa,49.27%,15.36%,1.39%
Jhin,48.52%,11.8%,0.53%
Tristana,52.99%,10.64%,11.01%
Ezreal,48.74%,11.12%,5.25%
Miss Fortune,49.78%,9.27%,1.77%
Jinx,50.45%,9.0%,0.61%
Varus,49.64%,8.3%,4.32%
Smolder,48.29%,7.85%,3.5%
Draven,47.83%,4.7%,48.92%
Corki,50.48%,5.56%,3.21%
Twitch,49.96%,5.43%,4.6%
Sivir,50.33%,5.46%,0.63%
Ashe,50.44%,5.02%,1.21%
Caitlyn,49.35%,4.74%,3.29%
Aphelios,49.49%,4.53%,0.47%
Samira,50.05%,4.26%,3.01%
Xayah,50.26%,4.07%,0.58%
Mel,47.88%,3.0%,22.88%
Zeri,49.69%,3.45%,0.21%
Vayne,51.07%,3.08%,3.18%
Yasuo,54.57%,2.09%,14.56%
Kalista,51.49%,2.07%,0.77%
Kog'Maw,49.46%,1.95%,0.41%
Nilah,48.42%,1.67%,1.17%
Karthus,53.07%,1.59%,3.11%
Hwei,52.75%,1.54%,3.07%
Ziggs,52.24%,1.18%,0.14%
Seraphine,47.29%,1.06%,0.12%
Swain,54.11%,0.88%,0.13%
Lux,50.56%,0.76%,0.16%
Aurelion Sol,53.44%,0.65%,0.29%
Heimerdinger,52.63%,0.6%,0.25%
Vel'Koz,50.57%,0.55%,0.4%
Zyra,55.24%,0.53%,0.63%
