Champion,WinRate,PickRate,BanRate
Ahri,49.91%,10.45%,3.49%
Sylas,51.67%,9.06%,9.65%
Syndra,51.95%,8.49%,9.45%
Zed,48.71%,6.55%,20.88%
Mel,46.48%,5.9%,23.05%
Yasuo,50.09%,6.2%,14.88%
Akali,49.97%,6.35%,13.37%
Orianna,52.38%,6.17%,2.98%
Taliyah,52.39%,6.07%,2.93%
Ryze,50.25%,5.98%,2.12%
Katarina,53.65%,5.61%,6.7%
Yone,49.41%,5.47%,4.74%
Hwei,50.0%,5.06%,3.25%
Viktor,47.35%,5.11%,2.7%
Vladimir,50.28%,4.66%,9.91%
Azir,49.3%,4.9%,0.87%
Galio,51.32%,4.46%,2.84%
Twisted Fate,52.93%,4.32%,0.43%
Zoe,51.11%,4.05%,7.05%
LeBlanc,53.03%,3.54%,18.51%
Akshan,50.48%,3.54%,13.64%
Ekko,50.15%,3.47%,6.48%
Qiyana,49.0%,3.43%,1.74%
Xerath,50.18%,3.05%,0.48%
Aurora,46.24%,2.85%,3.53%
Lux,49.55%,2.87%,0.19%
Kassadin,47.95%,2.82%,3.68%
Diana,49.58%,2.53%,4.62%
Kayle,54.28%,2.58%,3.06%
Talon,51.81%,1.48%,37.88%
Aurelion Sol,48.61%,2.31%,0.35%
Vex,51.69%,2.29%,2.28%
Annie,52.96%,2.28%,1.41%
Lissandra,52.79%,2.12%,0.51%
Vel'Koz,50.26%,2.07%,0.46%
Irelia,50.29%,1.83%,10.95%
Jayce,50.87%,1.59%,11.59%
Malzahar,47.43%,1.8%,0.68%
Fizz,48.63%,1.8%,0.74%
Anivia,49.05%,1.69%,1.7%
Tristana,46.15%,1.45%,10.29%
Veigar,50.2%,1.62%,0.05%
Smolder,46.72%,1.47%,3.26%
Corki,46.91%,1.49%,3.05%
Cassiopeia,51.86%,1.39%,1.14%
Swain,52.01%,1.34%,0.14%
Neeko,53.2%,1.17%,2.19%
Kennen,52.57%,1.13%,2.59%
Ambessa,50.26%,0.83%,12.27%
Naafiri,50.74%,0.73%,23.64%
Gragas,50.34%,0.94%,0.98%
Cho'Gath,49.43%,0.94%,0.55%
Zilean,56.27%,0.8%,1.68%
Ziggs,50.41%,0.79%,0.13%
Gwen,46.62%,0.6%,14.03%
