Champion,WinRate,PickRate,BanRate
Nami,49.69%,16.27%,2.16%
Nautilus,49.89%,13.96%,8.85%
Rell,52.59%,13.44%,7.42%
Lulu,51.81%,10.14%,12.2%
Braum,51.76%,9.74%,14.59%
Janna,51.29%,9.18%,7.42%
Rakan,51.11%,9.2%,0.64%
Alistar,50.48%,8.95%,4.05%
Thresh,50.53%,8.03%,2%
Karma,50.67%,7.88%,2.99%
Pyke,50.38%,5.64%,41.44%
Leona,49.44%,7.33%,2.37%
Bard,50.86%,7.15%,3.83%
Milio,49.27%,6.56%,1.71%
Senna,48.37%,2.86%,29.93%
Soraka,50.94%,4.51%,0.52%
Neeko,50.65%,4.38%,2.37%
Sona,52.53%,4.18%,0.23%
Blitzcrank,50.68%,4.02%,5.38%
Yuumi,44.48%,3.66%,3.22%
Poppy,52.94%,3.31%,10.4%
Elise,52.44%,3.04%,11.19%
Zilean,50.45%,2.82%,1.89%
Pantheon,50.1%,2.21%,13.95%
Fiddlesticks,51.44%,2.27%,6.74%
Lux,50.1%,2.1%,0.19%
Taric,54.59%,2.12%,0.19%
Seraphine,49.48%,1.82%,0.13%
Vel'Koz,48.88%,1.71%,0.45%
Mel,44.35%,1.29%,20.49%
Renata Glasc,51.6%,1.65%,0.32%
Maokai,51.02%,1.45%,0.13%
Shaco,48.09%,1.17%,15.09%
Tahm Kench,47.36%,1.16%,0.09%
Zyra,45.8%,1.11%,0.72%
Zoe,44.05%,1.01%,6.62%
Morgana,51.85%,1.03%,0.65%
Sylas,45.29%,0.83%,8.03%
Shen,45.14%,0.78%,12.76%
LeBlanc,51.14%,0.65%,15.16%
Galio,48.93%,0.69%,2.24%
Nidalee,52.3%,0.6%,2.05%
Xerath,46.85%,0.61%,0.4%
Amumu,51.46%,0.51%,0.22%
