Champion,WinRate,PickRate,BanRate
Dr. Mundo,47.28%,9.56%,14.34%
Shen,52.11%,8.43%,15.2%
Ambessa,50.7%,8.17%,14.74%
Riven,52.97%,7.64%,12.19%
Renekton,48.13%,7.26%,9.89%
Aatrox,48.88%,7.14%,5.44%
Jayce,48.33%,6.66%,11.96%
Fiora,52.83%,5.65%,16.74%
Darius,51.03%,5.43%,11.12%
Jax,52.98%,4.77%,10.95%
Sion,49.34%,4.92%,0.79%
Gwen,51.82%,4.27%,17.43%
Sett,49.08%,4.81%,1.19%
K'Sante,49.49%,4.67%,2.2%
Ornn,50.56%,4.62%,0.27%
Camille,53.51%,4.55%,2.51%
Yone,48.56%,3.98%,4.72%
Vladimir,50.99%,3.8%,9.9%
Gnar,50.08%,4.2%,0.87%
Yorick,52.35%,3.95%,8.75%
Gragas,52.54%,4.03%,1.1%
Irelia,49.74%,3.68%,11.37%
Malphite,49.73%,3.62%,7.14%
Garen,46.21%,3.21%,1.67%
Cho'Gath,50.37%,2.9%,0.6%
Urgot,51.61%,2.81%,0.34%
Kayle,51.64%,2.69%,3.07%
Yasuo,48.08%,2.25%,14.7%
Gangplank,48.59%,2.67%,0.5%
Olaf,50.83%,2.6%,2.45%
Rumble,50.99%,2.5%,1.14%
Vayne,54.28%,2.29%,3.16%
Mordekaiser,49.77%,2.36%,0.61%
Pantheon,49.35%,1.82%,13.68%
Kennen,50.26%,2.11%,2.65%
Warwick,52.54%,2.08%,1.65%
Volibear,49.28%,1.94%,2.71%
Trundle,45.99%,1.75%,0.46%
Ryze,50.92%,1.64%,2.05%
Singed,51.51%,1.65%,0.38%
Teemo,52.02%,1.61%,0.51%
Akali,47.65%,1.33%,12.54%
Quinn,54.37%,1.53%,0.52%
Tryndamere,50.7%,1.53%,0.67%
Poppy,55.23%,1.34%,9.69%
Sylas,47.54%,1.23%,9.03%
Aurora,51.89%,1.26%,3.24%
Kled,50.97%,1.22%,0.3%
Nasus,47.41%,1.17%,0.66%
Varus,50.1%,1.07%,3.97%
Nidalee,44.68%,1.03%,2.38%
Illaoi,48.57%,0.91%,0.73%
Cassiopeia,53.64%,0.89%,1.05%
Udyr,44.82%,0.83%,4.11%
Wukong,54.6%,0.75%,1.26%
