Champion,WinRate,PickRate,BanRate
Senna,50.93,21.05,30.99
Lucian,50.67,16.25,19.84
Kai'Sa,49.39,12.71,0.94
Jinx,53.32,10.72,1.92
Smolder,46.77,10.05,5.44
Jhin,48.01,10.34,0.38
Tristana,50.79,9.48,12.49
Ezreal,46.21,9.14,4.86
Sivir,51.85,8.08,1.45
Varus,50.22,7.24,2.56
Draven,50.7,5.34,33.31
Caitlyn,50.56,6.18,5.23
Miss Fortune,51.33,6.12,0.68
Twitch,49.74,5.93,3.73
Aphelios,50.91,5.84,0.35
Samira,51.76,5.31,2.53
Ashe,47.72,5.08,1.14
Mel,47.67,3.21,24.06
Corki,48.51,3.57,2.16
Xayah,52.8,3.45,0.3
Vayne,54.31,3.12,1.21
Zeri,47.51,3.01,0.05
Hwei,51.98,2.68,3.13
Karthus,55.88,2.6,4.91
Yasuo,51.19,1.83,19.71
Lux,51.99,2.2,1.23
Nilah,52.22,1.83,1.54
Swain,55.6,1.67,0.27
Seraphine,51.16,1.61,0.34
Kog'Maw,50.0,1.36,0.36
Kalista,42.92,1.32,0.19
Veigar,55.44,1.21,0.2
Zyra,59.09,0.96,1.77
Ziggs,54.11,0.91,0.16
Irelia,63.95,0.54,2.9
Viktor,45.78,0.52,1.64
