Champion,WinRate,PickRate,BanRate
Viego,50.19,13.34,11.35
Pantheon,51.96,10.56,13.97
Hecarim,52.42,7.22,9.54
Ekko,51.39,6.77,10.88
Jarvan IV,50.65,7.01,1.41
Talon,50.0,6.16,15.11
Kayn,52.34,6.36,12.2
Lee Sin,48.46,6.32,2.43
Kha'Zix,51.98,5.72,6.21
Diana,48.14,5.59,4.11
Graves,48.13,5.71,4.32
Kindred,52.51,5.17,17.12
Xin Zhao,48.79,5.63,2.64
Naafiri,49.22,4.98,19.93
Gwen,48.51,4.34,28.41
Volibear,52.39,5.43,3.32
Zed,45.85,4.06,25.39
Nocturne,48.86,5.12,3.31
Shaco,51.62,4.41,17.59
Udyr,52.39,4.75,4.86
Vi,47.08,4.78,1.98
Master Yi,49.42,3.91,5.2
Rengar,54.66,3.62,12.45
Nunu & Willump,53.09,3.77,2.6
Ivern,52.87,3.73,3.01
Evelynn,54.56,3.55,5.29
Bel'Veth,54.16,3.19,11.58
Lillia,49.41,3.32,3.39
Elise,47.26,3.19,4.9
Zac,53.35,3.19,4.34
Wukong,47.85,3.02,1.25
Rek'Sai,52.16,3.01,0.74
Karthus,46.77,2.81,5.46
Fiddlesticks,53.73,2.6,9.04
Dr. Mundo,40.83,1.87,7.48
Nidalee,47.91,2.02,0.54
Taliyah,51.35,1.68,1.97
Poppy,51.24,1.57,7.39
Trundle,50.22,1.48,0.44
Briar,50.67,1.45,0.81
Zyra,49.77,1.38,2.24
Warwick,47.57,1.33,1.03
Qiyana,46.19,1.28,0.85
Skarner,44.58,1.08,0.41
Amumu,41.94,1.0,0.2
Sejuani,43.51,1.0,0.07
Ambessa,50.0,0.87,8.38
Jax,55.88,0.88,9.03
Gragas,52.48,0.91,1.11
Shyvana,38.85,0.9,0.12
Rammus,49.56,0.73,0.35
Olaf,43.93,0.69,0.87
Morgana,54.44,0.58,0.9
Brand,46.67,0.58,0.23
