Champion,WinRate,PickRate,BanRate
Aatrox,46.82,8.27,9.85
Riven,52.61,8.01,13.92
Shen,50.12,8.21,7.87
Dr. Mundo,47.8,7.91,8.24
Ambessa,52.1,7.07,13.06
Fiora,51.39,5.48,12.09
Urgot,51.18,5.65,3.15
Sett,50.0,5.44,1.5
Yorick,49.25,5.09,13.5
Jayce,51.94,5.05,9.95
Vladimir,49.34,4.76,9.18
Renekton,46.31,5.05,7.29
Cho'Gath,51.28,4.44,0.73
Gwen,50.57,3.35,26.32
Jax,50.8,3.96,12.64
Nasus,51.28,4.19,2.51
Ornn,50.63,4.04,0.14
Yone,45.68,3.81,3.32
Sion,47.3,3.99,0.44
Irelia,50.7,3.59,6.29
Gragas,53.2,3.66,1.37
Camille,50.87,3.63,1.88
K'Sante,52.17,3.65,1.33
Darius,48.06,3.26,5.56
Garen,46.71,3.26,2.18
Volibear,45.66,3.06,3.15
Malphite,48.24,3.06,4.95
Yasuo,52.93,2.38,20.59
Akali,50.41,2.33,10.49
Singed,52.51,2.52,0.92
Rumble,48.23,2.51,0.96
Mordekaiser,48.48,2.51,0.81
Pantheon,53.04,1.98,11.7
Gangplank,50.92,2.41,0.46
Teemo,52.88,2.31,3.37
Warwick,48.87,2.24,1.19
Kayle,48.94,2.08,1.53
Ryze,43.83,1.95,2.29
Gnar,46.25,2.02,0.58
Olaf,55.1,1.99,1.33
Tryndamere,48.67,1.9,3.35
Kennen,54.0,1.9,1.06
Quinn,53.31,1.91,0.67
Illaoi,49.3,1.8,0.97
Poppy,51.84,1.55,7.56
Kled,50.2,1.58,0.23
Trundle,48.78,1.3,0.41
Sylas,41.28,1.09,6.82
Rengar,56.4,1.09,9.57
Udyr,41.44,1.15,3.7
Heimerdinger,55.03,1.07,0.5
Wukong,53.42,1.02,0.96
Zed,51.97,0.8,18.31
Zac,58.97,0.99,3.22
Azir,55.77,0.99,2.39
