Champion,Game,WinRate
Gnar,77,0.532
Jayce,51,0.608
Maokai,43,0.535
Aatrox,40,0.65
Gangplank,36,0.444
Renekton,35,0.514
Gragas,35,0.657
Vladimir,34,0.441
Rumble,34,0.529
Ornn,30,0.467
Gwen,25,0.72
Sion,25,0.56
Kennen,24,0.542
Shen,23,0.348
Poppy,21,0.619
Graves,20,0.7
Camille,19,0.42100000000000004
Sett,17,0.47100000000000003
Fiora,17,0.529
Akali,16,0.563
Ekko,16,0.43799999999999994
Jax,14,0.643
Ryze,14,0.35700000000000004
Yorick,13,0.769
Jarvan IV,13,0.6920000000000001
Fizz,12,0.583
Irelia,12,0.583
Mordekaiser,9,0.444
Hecarim,9,0.778
Sejuani,8,0.5
Morgana,8,0.75
Chogath,8,0.375
Trundle,8,0.875
Aurora,8,1.0
Ambessa,8,0.625
KSante,7,0.7140000000000001
RekSai,7,0.5710000000000001
Twisted Fate,7,0.7140000000000001
Quinn,7,0.429
Urgot,6,0.16699999999999998
Wukong,6,0.33299999999999996
Nautilus,6,0.33299999999999996
Singed,6,0.5
Kled,5,0.4
Udyr,5,0.6
Karma,5,0.6
Nocturne,4,0.5
Riven,4,0.5
Kassadin,4,0.75
Viktor,4,0.75
Dr. Mundo,4,0.25
Nasus,4,0.5
Galio,4,0.75
Kayle,3,0.667
Volibear,3,0.33299999999999996
Nidalee,3,0.33299999999999996
Malphite,3,0.667
Darius,3,1.0
Yasuo,3,0.0
Lucian,2,1.0
Shyvana,2,0.5
Skarner,2,1.0
Neeko,2,1.0
Zac,2,0.5
Pyke,2,0.5
Lulu,2,0.5
Tahm Kench,2,0.5
Smolder,2,1.0
Malzahar,2,1.0
Sylas,2,0.5
Lissandra,2,0.0
Qiyana,2,0.5
Olaf,1,0.0
Garen,1,0.0
Diana,1,0.0
Cassiopeia,1,0.0
Yone,1,1.0
Tryndamere,1,0.0
Annie,1,1.0
Viego,1,1.0
Lee Sin,1,1.0
Corki,1,0.0
Pantheon,1,0.0
Janna,1,0.0
Kalista,1,0.0
