Champion,Game,WinRate
Leona,62,0.581
Nautilus,45,0.489
Rell,39,0.59
Tahm Kench,37,0.595
Renata Glasc,32,0.688
Braum,26,0.423
Lulu,24,0.20800000000000002
Rakan,23,0.522
Alistar,16,0.5
Nami,16,0.563
Thresh,15,0.6
Karma,13,0.385
Neeko,12,0.667
Yuumi,11,0.455
Milio,11,0.455
Maokai,10,0.6
Bard,9,0.778
Heimerdinger,8,0.5
Ashe,7,0.7140000000000001
Poppy,6,0.667
Seraphine,5,0.8
Blitzcrank,5,0.6
Lux,3,0.667
Elise,2,0.0
Shen,2,0.5
Caitlyn,2,0.5
Galio,2,1.0
Senna,1,0.0
Pantheon,1,1.0
Jhin,1,0.0
Annie,1,1.0
Sona,1,1.0
Kalista,1,0.0
Amumu,1,0.0
Zilean,1,0.0
Trundle,1,1.0
Gragas,1,0.0
