Champion,Game,WinRate
Azir,59,0.508
Ryze,48,0.583
Orianna,33,0.545
Sylas,31,0.677
Annie,23,0.652
Corki,23,0.304
LeBlanc,23,0.565
Tristana,22,0.545
Yone,19,0.526
Taliyah,19,0.579
Syndra,15,0.5329999999999999
Galio,14,0.643
Viktor,13,0.308
Akali,11,0.545
Cassiopeia,11,0.636
Twisted Fate,11,0.364
Ahri,10,0.3
Jayce,9,0.667
Lissandra,9,0.222
Karma,7,0.28600000000000003
Swain,6,0.16699999999999998
Aurora,6,1.0
Irelia,5,0.2
Zoe,5,0.6
Lucian,5,0.6
Renekton,4,0.5
Veigar,3,0.667
Draven,2,0.0
Hwei,2,0.0
Gangplank,1,1.0
Neeko,1,0.0
Zeri,1,1.0
Smolder,1,0.0
Gragas,1,1.0
KSante,1,1.0
Kassadin,1,0.0
Ekko,1,0.0
Tryndamere,1,0.0
Yasuo,1,0.0
Nocturne,1,0.0
Viego,1,1.0
