Champion,Game,WinRate
Sejuani,86,0.6509999999999999
Lee Sin,67,0.522
Xin Zhao,53,0.679
Wukong,46,0.565
Olaf,45,0.489
Trundle,40,0.65
Maokai,40,0.675
Jarvan IV,32,0.625
Viego,26,0.423
Poppy,25,0.6
Volibear,24,0.625
Nocturne,23,0.652
Elise,22,0.591
Nidalee,21,0.33299999999999996
Vi,20,0.75
Zac,19,0.632
Lillia,18,0.5
Brand,15,0.5329999999999999
Skarner,15,0.733
Pantheon,14,0.7859999999999999
Gragas,12,0.5
Diana,11,0.545
RekSai,10,0.4
Graves,10,0.5
Taliyah,10,0.7
Naafiri,10,0.9
Karthus,8,0.375
Hecarim,8,0.5
Udyr,7,0.429
KhaZix,6,0.667
Aatrox,5,0.8
Kindred,5,0.0
Camille,5,0.6
Rell,4,0.75
Rumble,4,0.25
Zyra,4,0.0
Ivern,3,0.33299999999999996
Qiyana,3,1.0
Evelynn,3,1.0
Braum,3,0.33299999999999996
Sett,2,0.5
Zed,2,0.5
Gwen,1,0.0
Ekko,1,0.0
Kayn,1,0.0
Sylas,1,1.0
Master Yi,1,1.0
Morgana,1,1.0
Amumu,1,0.0
Shen,1,0.0
Shyvana,1,0.0
