Champion,Game,WinRate
Sejuani,42,0.524
Xin Zhao,37,0.43200000000000005
Viego,37,0.568
Wukong,34,0.41200000000000003
Poppy,29,0.552
Vi,27,0.40700000000000003
Lillia,15,0.467
Lee Sin,14,0.5710000000000001
Brand,13,0.5379999999999999
Maokai,13,0.462
Skarner,12,0.583
Nidalee,10,0.5
Zyra,9,0.667
Pantheon,8,0.875
Nocturne,6,0.5
Karthus,6,0.5
Elise,5,0.4
Trundle,4,0.25
Graves,4,0.25
Hecarim,3,0.33299999999999996
Talon,3,1.0
Jarvan IV,3,0.33299999999999996
Udyr,3,0.667
Ivern,2,0.5
Naafiri,2,0.0
Diana,1,0.0
KhaZix,1,0.0
Rell,1,0.0
Shyvana,1,1.0
Kindred,1,0.0
