Champion,Game,WinRate
Jax,90,0.6890000000000001
Gnar,82,0.634
Renekton,80,0.625
Gwen,62,0.6609999999999999
KSante,49,0.5710000000000001
Camille,39,0.59
Rumble,38,0.6579999999999999
Aatrox,33,0.485
Gangplank,33,0.636
Jayce,31,0.5479999999999999
Kennen,29,0.828
Fiora,18,0.5
Wukong,18,0.611
Sion,17,0.529
Yorick,13,0.6920000000000001
Ambessa,13,0.615
Ornn,13,0.385
Gragas,13,0.846
Mordekaiser,8,0.25
Akali,7,0.5710000000000001
Graves,7,0.14300000000000002
Irelia,7,0.857
Twisted Fate,6,0.667
RekSai,5,0.6
Udyr,5,1.0
Malphite,4,0.75
Skarner,4,1.0
Viego,3,0.33299999999999996
Sylas,2,0.5
Darius,2,1.0
Vayne,2,0.5
Maokai,2,1.0
Sejuani,1,0.0
Kayle,1,0.0
Akshan,1,1.0
Lee Sin,1,0.0
Galio,1,1.0
Nocturne,1,1.0
Volibear,1,1.0
