Champion,Game,WinRate
Ahri,73,0.7809999999999999
Syndra,55,0.782
Sylas,54,0.778
Orianna,54,0.537
Corki,52,0.6729999999999999
Zoe,51,0.667
Taliyah,44,0.682
LeBlanc,38,0.579
Jayce,35,0.743
Ryze,35,0.629
Akali,34,0.6759999999999999
Viktor,33,0.636
Neeko,29,0.7929999999999999
Annie,26,0.731
Yone,26,0.769
Galio,25,0.48
Azir,22,0.545
Tristana,22,0.5
Ekko,17,0.588
Lissandra,17,0.588
Lucian,16,0.563
Vex,13,0.6920000000000001
Aurora,13,0.5379999999999999
Karma,12,0.667
Cassiopeia,11,0.545
Irelia,9,0.444
Kassadin,9,0.444
Viego,7,0.857
Twisted Fate,6,0.667
Smolder,5,0.6
Nocturne,5,0.8
Swain,4,0.5
Gragas,4,0.75
Renekton,4,0.5
Qiyana,4,0.5
Veigar,4,0.75
Lee Sin,4,1.0
Yasuo,3,0.667
Zeri,3,0.667
Hwei,3,0.667
Vladimir,3,0.667
Pantheon,2,0.5
Malzahar,2,0.5
Gangplank,2,0.5
Sett,2,0.5
Diana,2,0.5
Xerath,1,1.0
Tryndamere,1,0.0
Lulu,1,0.0
Vayne,1,1.0
Brand,1,1.0
Camille,1,1.0
Nautilus,1,1.0
KSante,1,1.0
Morgana,1,1.0
Aurelion Sol,1,0.0
Rumble,1,1.0
Ziggs,1,1.0
Zed,1,1.0
