Champion,Game,WinRate
Rakan,85,0.718
Nautilus,66,0.636
Rell,66,0.667
Alistar,49,0.6940000000000001
Renata Glasc,42,0.619
Leona,35,0.429
Lulu,27,0.556
Thresh,26,0.5770000000000001
Nami,25,0.72
Tahm Kench,24,0.583
Braum,19,0.474
Blitzcrank,18,0.5
Neeko,14,0.857
Karma,11,0.727
Ashe,11,0.545
Lux,10,0.6
Milio,9,0.667
Elise,7,0.857
Bard,7,0.7140000000000001
Yuumi,6,0.33299999999999996
Galio,6,0.833
Poppy,5,0.4
Ornn,5,0.8
Pyke,5,0.6
Maokai,4,0.75
Gragas,3,0.667
Shen,2,1.0
Kalista,2,0.0
Camille,2,0.5
Caitlyn,2,0.5
Heimerdinger,2,1.0
Sett,2,0.0
Trundle,2,0.5
Seraphine,2,1.0
Annie,1,1.0
Ezreal,1,1.0
Yasuo,1,1.0
Senna,1,0.0
Zac,1,0.0
Jarvan IV,1,0.0
Taric,1,0.0
Pantheon,1,1.0
