Champion,Game,WinRate
Aphelios,60,0.55
Kaisa,44,0.523
Ezreal,38,0.42100000000000004
Zeri,30,0.5670000000000001
Kalista,30,0.633
Jinx,29,0.655
Xayah,24,0.41700000000000004
Lucian,24,0.33299999999999996
Varus,21,0.429
Tristana,17,0.41200000000000003
Ashe,15,0.5329999999999999
Miss Fortune,14,0.5710000000000001
Draven,12,0.25
Jhin,11,0.364
Caitlyn,9,0.667
Samira,8,0.375
Ziggs,7,0.7140000000000001
Senna,6,0.5
Smolder,6,0.33299999999999996
Sivir,4,0.25
Corki,4,0.5
KogMaw,2,0.0
Vayne,1,0.0
Nilah,1,0.0
Rammus,1,0.0
Twitch,1,0.0
