Champion,Game,WinRate
Sejuani,43,0.698
Vi,32,0.688
Wukong,28,0.7140000000000001
Xin Zhao,27,0.63
Skarner,26,0.6920000000000001
Maokai,21,0.762
Jarvan IV,16,0.563
Zyra,14,0.929
Viego,13,0.5379999999999999
Trundle,11,0.818
Poppy,11,0.545
Lillia,10,0.8
Nocturne,9,0.556
Kindred,9,0.667
Rell,7,0.857
RekSai,6,0.16699999999999998
Nidalee,6,0.667
Pantheon,5,0.8
Graves,5,1.0
Gragas,5,0.6
Lee Sin,4,1.0
Olaf,4,0.25
Volibear,3,0.33299999999999996
Zac,2,0.5
Karthus,2,0.5
Nunu,1,0.0
Elise,1,1.0
KhaZix,1,0.0
Ivern,1,1.0
Diana,1,1.0
Rumble,1,1.0
Taliyah,1,0.0
Dr. Mundo,1,1.0
