Champion,Game,WinRate
Nautilus,34,0.5
Rakan,34,0.5589999999999999
Leona,25,0.72
Renata Glasc,25,0.6
Alistar,19,0.474
Lulu,18,0.444
Tahm Kench,16,0.688
Nami,14,0.7140000000000001
Rell,14,0.643
Braum,12,0.583
Thresh,12,0.33299999999999996
Neeko,11,0.818
Karma,9,0.667
Bard,9,0.667
Yuumi,6,0.5
Pyke,5,0.6
Ashe,5,0.6
Lux,4,0.25
Seraphine,3,1.0
Yasuo,3,0.33299999999999996
Senna,3,0.33299999999999996
Rumble,3,0.33299999999999996
Poppy,2,1.0
Ornn,2,0.5
Milio,2,0.5
Blitzcrank,2,0.5
Soraka,2,0.5
Zilean,2,0.5
Janna,1,1.0
Elise,1,1.0
Azir,1,0.0
Varus,1,1.0
Nasus,1,0.0
