Champion,Game,WinRate
Renekton,50,0.64
Gangplank,40,0.625
Aatrox,33,0.636
Ornn,33,0.667
Sion,28,0.5710000000000001
Urgot,25,0.48
Gragas,18,0.722
Sett,16,0.5
Olaf,16,0.688
Viego,15,0.6
Swain,13,0.6920000000000001
Volibear,12,0.667
Jarvan IV,12,0.41700000000000004
KSante,12,0.667
Graves,12,0.667
Chogath,11,0.455
Jayce,11,0.636
Shen,10,0.3
Jax,8,0.75
Rumble,8,0.5
Galio,7,0.5710000000000001
Rengar,7,0.5710000000000001
Udyr,6,0.5
Trundle,6,1.0
Viktor,5,0.8
Mordekaiser,5,0.6
Karma,5,0.8
Camille,5,0.6
Vladimir,5,0.6
Lee Sin,5,0.2
Darius,5,0.6
Pantheon,4,0.75
Zac,4,0.5
Garen,4,0.75
Yorick,4,0.75
Singed,4,0.75
Gwen,3,1.0
Xin Zhao,3,0.33299999999999996
Poppy,3,0.0
Lucian,3,0.33299999999999996
Skarner,3,1.0
Nidalee,3,0.667
Wukong,3,0.0
Malphite,3,0.667
Maokai,2,0.5
Nocturne,2,0.5
Ambessa,2,1.0
Kayn,2,0.5
Karthus,2,1.0
Dr. Mundo,2,0.0
Twisted Fate,2,1.0
Sylas,2,0.5
Ryze,2,1.0
Tryndamere,2,1.0
Gnar,1,1.0
Nautilus,1,0.0
Kled,1,0.0
Sejuani,1,1.0
Yasuo,1,1.0
Shyvana,1,1.0
Lissandra,1,1.0
Riven,1,1.0
Akali,1,0.0
Kayle,1,0.0
Zilean,1,0.0
Lulu,1,0.0
Yone,1,0.0
