Champion,Game,WinRate
Sejuani,42,0.643
Xin Zhao,38,0.6579999999999999
Viego,32,0.469
Lee Sin,31,0.484
Lillia,28,0.607
Trundle,26,0.6920000000000001
Jarvan IV,24,0.667
Vi,17,0.41200000000000003
Olaf,17,0.588
Hecarim,16,0.625
Maokai,15,0.5329999999999999
Poppy,15,0.6
Graves,15,0.667
Wukong,14,0.7140000000000001
Skarner,13,0.5379999999999999
Ivern,11,0.727
Nidalee,11,0.455
Kindred,10,0.8
Nocturne,10,0.8
Pantheon,9,0.778
Gragas,9,0.778
RekSai,8,0.5
Udyr,8,0.5
Taliyah,8,0.625
Zac,7,0.7140000000000001
Evelynn,7,0.7140000000000001
Amumu,7,0.429
Fiddlesticks,7,0.429
Karthus,7,0.429
KhaZix,6,0.833
Sett,6,0.33299999999999996
Volibear,6,0.667
Diana,5,0.6
Zyra,5,0.8
Brand,4,0.75
Sylas,4,0.5
Elise,4,0.25
Qiyana,3,0.667
Camille,3,0.33299999999999996
Rumble,2,0.5
Kayn,2,1.0
Nunu,2,0.5
Naafiri,2,0.5
Belveth,1,0.0
