Champion,Game,WinRate
Orianna,30,0.5329999999999999
Cassiopeia,22,0.545
Azir,22,0.727
Syndra,21,0.429
Corki,18,0.722
Viktor,16,0.25
Taliyah,12,0.667
Ryze,9,0.556
Zoe,9,0.667
Tristana,8,0.625
Annie,8,0.5
Seraphine,7,0.5710000000000001
Hwei,7,1.0
Lucian,7,0.14300000000000002
Yone,7,0.7140000000000001
Ahri,7,0.429
Nocturne,4,0.25
Aurelion Sol,4,0.5
Smolder,4,0.5
Sylas,3,1.0
Twisted Fate,3,0.33299999999999996
Zeri,3,0.667
Viego,3,0.0
Neeko,3,0.667
Renekton,2,0.0
Jayce,2,0.0
Akali,2,1.0
Karma,2,1.0
Galio,2,0.5
Zilean,1,0.0
Mel,1,1.0
Irelia,1,1.0
Sett,1,0.0
Kalista,1,0.0
Qiyana,1,0.0
