Champion,Game,WinRate
Gwen,33,0.667
Renekton,29,0.552
Gnar,29,0.483
Camille,25,0.72
Aatrox,21,0.5710000000000001
Jax,21,0.5710000000000001
KSante,18,0.444
Ornn,17,0.647
Sion,14,0.5710000000000001
Rumble,11,0.727
Wukong,8,0.875
Kennen,6,0.33299999999999996
Jayce,6,0.833
Gragas,6,0.33299999999999996
Sett,5,0.4
Viego,5,0.8
Gangplank,5,0.2
Volibear,5,0.8
Olaf,5,0.6
Mordekaiser,4,0.75
Ambessa,4,0.75
Irelia,4,1.0
Sejuani,3,0.0
Fiora,3,0.33299999999999996
Vladimir,3,1.0
Darius,3,0.0
RekSai,3,0.33299999999999996
Malphite,3,0.33299999999999996
Yone,3,0.33299999999999996
Udyr,2,1.0
Skarner,2,1.0
Galio,2,0.5
Tryndamere,2,0.5
Tahm Kench,2,0.5
Swain,1,1.0
Trundle,1,1.0
Twisted Fate,1,1.0
Graves,1,0.0
Dr. Mundo,1,0.0
Nasus,1,0.0
Azir,1,1.0
Sylas,1,0.0
Yorick,1,0.0
Urgot,1,1.0
