Champion,Game,WinRate
Nautilus,49,0.408
Leona,46,0.609
Rakan,42,0.667
Alistar,33,0.636
Rell,33,0.515
Lulu,18,0.444
Nami,13,0.6920000000000001
Yuumi,13,0.462
Tahm Kench,12,0.33299999999999996
Lux,11,0.455
Karma,11,0.727
Braum,9,0.222
Renata Glasc,8,0.625
Galio,7,0.7140000000000001
Seraphine,6,0.833
Neeko,5,0.4
Bard,5,0.6
Thresh,5,0.6
Maokai,4,0.75
Sett,3,0.0
Blitzcrank,3,0.33299999999999996
Morgana,3,0.0
Janna,2,1.0
Milio,2,1.0
Miss Fortune,2,0.5
Pyke,2,1.0
Amumu,2,0.0
Soraka,2,1.0
Taric,2,1.0
Sona,1,0.0
Gragas,1,0.0
Annie,1,0.0
Senna,1,0.0
Zyra,1,0.0
Skarner,1,1.0
Ornn,1,1.0
Poppy,1,0.0
