Champion,Game,WinRate
Orianna,32,0.531
Ahri,29,0.517
Azir,27,0.519
Syndra,22,0.409
Taliyah,21,0.762
LeBlanc,16,0.313
Sylas,14,0.7140000000000001
Jayce,11,0.636
Viktor,10,0.2
Hwei,9,0.222
Akali,8,0.75
Ryze,8,0.125
Annie,8,0.5
Zoe,7,0.7140000000000001
Lissandra,6,0.667
Aurora,5,0.6
Ekko,4,0.5
Corki,4,0.25
Kassadin,4,0.25
Tristana,3,0.33299999999999996
Irelia,3,0.0
Lee Sin,2,1.0
Viego,2,1.0
Galio,2,0.0
Karma,2,1.0
Cassiopeia,2,0.5
Neeko,2,0.5
Lucian,2,0.0
Zed,1,1.0
Vex,1,0.0
Zeri,1,1.0
Yone,1,0.0
Mordekaiser,1,0.0
Jhin,1,1.0
Varus,1,1.0
Ornn,1,0.0
Seraphine,1,0.0
Gragas,1,0.0
