Champion,Game,WinRate
LeBlanc,52,0.6920000000000001
Syndra,51,0.706
Orianna,47,0.617
Azir,47,0.638
Corki,43,0.721
Ryze,40,0.65
Sylas,36,0.667
Taliyah,35,0.657
Tristana,33,0.636
Ahri,31,0.5479999999999999
Zoe,27,0.667
Akali,26,0.5379999999999999
Cassiopeia,24,0.542
Twisted Fate,22,0.545
Jayce,16,0.688
Lucian,16,0.625
Annie,15,0.667
Viktor,14,0.5710000000000001
Irelia,14,0.7140000000000001
Yasuo,14,0.643
Neeko,13,0.769
Aurelion Sol,13,0.615
Yone,11,0.636
Galio,11,0.636
Lissandra,10,0.7
Swain,9,0.556
Hwei,9,0.667
Ezreal,8,0.875
Aphelios,7,0.5710000000000001
Ekko,7,0.7140000000000001
Aurora,7,0.429
Vladimir,6,0.33299999999999996
Senna,5,1.0
Malzahar,5,0.8
Kassadin,5,0.4
Karma,5,0.6
KogMaw,4,0.75
Gwen,4,0.75
Miss Fortune,4,0.5
Anivia,4,0.5
Renekton,4,0.75
Nautilus,4,1.0
Aatrox,4,1.0
Kaisa,3,0.667
KSante,3,0.33299999999999996
Veigar,3,0.33299999999999996
Smolder,3,1.0
Varus,3,0.667
Gragas,2,0.5
Kayle,2,0.5
Camille,2,0.5
Malphite,2,0.5
Sejuani,2,1.0
Zeri,2,0.0
Nocturne,2,0.5
Seraphine,2,0.5
Vayne,2,1.0
Zed,2,0.0
Ziggs,2,0.5
Wukong,2,1.0
Pyke,2,0.5
Morgana,2,0.5
Qiyana,2,1.0
Kled,1,1.0
Fizz,1,0.0
Urgot,1,1.0
Talon,1,1.0
Sion,1,1.0
Rumble,1,0.0
Draven,1,1.0
Zac,1,1.0
Xayah,1,1.0
Katarina,1,0.0
Viego,1,0.0
Kalista,1,1.0
Kayn,1,1.0
