Champion,Game,WinRate
Rakan,58,0.534
Nautilus,53,0.45299999999999996
Alistar,52,0.596
Braum,33,0.485
Thresh,32,0.5
Rell,31,0.613
Tahm Kench,30,0.633
Leona,24,0.41700000000000004
Lulu,17,0.647
Blitzcrank,15,0.6
Renata Glasc,15,0.667
Karma,8,0.375
Yuumi,7,0.7140000000000001
Bard,5,0.4
Taric,4,0.75
Neeko,4,0.25
Ashe,4,0.5
Nami,4,0.25
Heimerdinger,3,0.667
Zilean,3,0.33299999999999996
Morgana,3,0.667
Galio,2,0.0
Pyke,2,0.5
Milio,2,0.0
Shen,2,0.5
Seraphine,1,0.0
Janna,1,0.0
Volibear,1,0.0
Lux,1,0.0
Annie,1,0.0
Maokai,1,1.0
Poppy,1,0.0
