Champion,Game,WinRate
Xayah,66,0.591
Kaisa,61,0.49200000000000005
Aphelios,47,0.5529999999999999
Kalista,39,0.564
Jinx,37,0.622
Varus,33,0.5760000000000001
Caitlyn,30,0.667
Miss Fortune,28,0.536
Zeri,21,0.23800000000000002
Lucian,19,0.579
Ashe,17,0.529
Tristana,15,0.667
Ezreal,14,0.429
Senna,13,0.385
Jhin,10,0.2
Samira,8,0.5
Sivir,6,0.33299999999999996
Cassiopeia,5,0.8
Vayne,4,0.75
Yasuo,4,0.75
Smolder,4,0.5
Jax,3,0.667
KogMaw,3,1.0
Draven,3,0.667
Corki,3,0.33299999999999996
Ziggs,2,0.5
Twitch,2,0.5
Ryze,2,0.5
Nilah,2,0.0
Renekton,1,0.0
Vladimir,1,1.0
Viktor,1,0.0
Kennen,1,1.0
Twisted Fate,1,0.0
