Champion,Game,WinRate
Nautilus,44,0.47700000000000004
Leona,41,0.488
Rakan,41,0.537
Rell,38,0.5529999999999999
Braum,23,0.565
Renata Glasc,21,0.667
Thresh,17,0.294
Alistar,16,0.25
Tahm Kench,15,0.6
Bard,14,0.5710000000000001
Poppy,12,0.75
Milio,9,0.667
Neeko,9,0.556
Galio,8,0.5
Nami,7,0.429
Maokai,7,0.7140000000000001
Seraphine,5,0.6
Lulu,5,0.2
Yuumi,4,0.0
Elise,3,0.33299999999999996
Karma,3,0.0
Pantheon,3,0.33299999999999996
Sett,3,0.33299999999999996
Ashe,3,0.33299999999999996
Lux,3,0.667
Blitzcrank,3,0.33299999999999996
Pyke,2,0.5
Veigar,2,0.5
Rumble,2,0.0
Zilean,2,0.0
Taric,2,0.5
Hwei,1,0.0
Amumu,1,1.0
Gragas,1,0.0
Soraka,1,1.0
Lillia,1,0.0
Heimerdinger,1,0.0
