Champion,Game,WinRate
Renekton,75,0.68
Jax,60,0.633
Aatrox,42,0.69
Jayce,41,0.659
Gnar,39,0.718
KSante,37,0.595
Rumble,32,0.7809999999999999
Kennen,29,0.621
Camille,22,0.545
Gwen,19,0.684
Urgot,17,0.588
Ornn,15,0.733
Malphite,15,0.8
Graves,14,0.929
Wukong,11,0.636
Fiora,10,0.7
Sett,10,0.7
Sion,10,0.8
Udyr,9,0.33299999999999996
Gragas,9,0.556
Ryze,9,0.111
Kled,8,0.875
Ambessa,8,0.125
Mordekaiser,7,0.7140000000000001
Twisted Fate,7,0.7140000000000001
Volibear,7,0.5710000000000001
Gangplank,7,0.7140000000000001
Irelia,6,1.0
Aurora,6,1.0
Smolder,6,0.667
Sylas,5,0.6
Yorick,5,0.4
Vladimir,4,0.5
Skarner,3,1.0
Pantheon,3,1.0
Corki,3,1.0
RekSai,3,0.0
Viktor,2,1.0
Tristana,2,0.5
Tryndamere,2,1.0
Sejuani,2,0.0
Yasuo,2,0.0
Dr. Mundo,2,0.5
Poppy,1,0.0
Galio,1,1.0
Nidalee,1,0.0
Chogath,1,1.0
Garen,1,0.0
Karma,1,0.0
Soraka,1,0.0
Akali,1,1.0
LeBlanc,1,1.0
Neeko,1,0.0
