Champion,Game,WinRate
Lee Sin,75,0.6
Wukong,62,0.79
Vi,43,0.5579999999999999
Nocturne,35,0.8290000000000001
Graves,34,0.294
Sejuani,32,0.5
Gragas,28,0.821
Karthus,24,0.75
Shyvana,22,0.818
Lillia,22,0.455
Maokai,20,0.75
Viego,20,0.7
Kindred,17,0.647
Hecarim,16,0.875
Jarvan IV,16,0.563
KhaZix,15,0.5329999999999999
Elise,14,0.7140000000000001
Rell,12,0.917
Nidalee,12,0.75
Xin Zhao,11,0.545
RekSai,10,0.9
Zac,8,0.875
Trundle,8,0.375
Diana,7,0.5710000000000001
Ivern,7,0.7140000000000001
Udyr,7,0.7140000000000001
Zyra,7,0.5710000000000001
Pantheon,7,0.429
Qiyana,7,1.0
Sylas,7,0.7140000000000001
Kayn,7,0.429
Skarner,7,0.5710000000000001
Brand,6,0.833
Zed,6,0.667
Talon,5,0.8
Olaf,5,0.4
Taliyah,4,1.0
Jax,4,0.5
Fiddlesticks,3,0.33299999999999996
Naafiri,3,1.0
Gwen,3,0.667
Volibear,2,0.5
Camille,2,0.0
Poppy,2,0.0
Ekko,2,0.5
Dr. Mundo,2,1.0
Rumble,1,0.0
Master Yi,1,0.0
Evelynn,1,0.0
Kaisa,1,0.0
Chogath,1,0.0
Rengar,1,0.0
