Champion,Game,WinRate
Lee Sin,101,0.743
Sejuani,61,0.574
Nidalee,57,0.807
Xin Zhao,37,0.595
Graves,36,0.833
Trundle,35,0.657
Maokai,33,0.6970000000000001
Viego,31,0.645
Jarvan IV,31,0.419
Vi,28,0.607
Wukong,27,0.667
Skarner,25,0.76
Rell,19,0.737
Diana,17,0.765
Karthus,17,0.8240000000000001
Olaf,17,0.647
Nocturne,17,0.588
Udyr,16,0.813
Sylas,16,0.688
Rek'Sai,16,0.813
Taliyah,16,0.75
Lillia,15,0.667
Rumble,12,0.583
Kha'Zix,12,0.5
Hecarim,12,0.917
Zyra,11,0.727
Poppy,11,0.545
Morgana,9,0.778
Pantheon,9,0.889
Qiyana,7,0.5710000000000001
Sett,7,0.857
Elise,7,0.5710000000000001
Kayn,7,0.429
Naafiri,7,0.7140000000000001
Kindred,6,0.833
Gragas,6,0.33299999999999996
Jax,6,0.833
Volibear,5,0.8
Gwen,5,0.2
Ivern,5,0.8
Neeko,3,1.0
Zed,3,0.667
Aatrox,3,0.667
Zac,3,0.667
Riven,3,0.33299999999999996
Nautilus,3,0.667
Ryze,3,0.33299999999999996
Talon,3,0.667
Sion,2,0.5
Fiddlesticks,2,1.0
Evelynn,2,0.5
Brand,2,1.0
Akali,2,0.5
Camille,2,0.5
Lulu,1,1.0
Bel'Veth,1,0.0
