Champion,Game,WinRate
Azir,98,0.6940000000000001
Corki,64,0.7809999999999999
Sylas,60,0.733
Ahri,54,0.778
Zoe,43,0.6509999999999999
LeBlanc,40,0.625
Galio,39,0.718
Orianna,33,0.5760000000000001
Ryze,32,0.531
Akali,32,0.7190000000000001
Yone,32,0.813
Viktor,29,0.586
Tristana,25,0.76
Irelia,24,0.5
Taliyah,23,0.826
Twisted Fate,22,0.545
Lucian,17,0.8240000000000001
Lissandra,17,0.588
Sett,16,0.5
Annie,15,0.733
Aatrox,15,0.8
Jayce,12,0.583
Rumble,10,0.6
Aurelion Sol,9,0.667
Renekton,8,0.75
Hwei,8,0.5
Aurora,8,0.75
Yasuo,8,0.75
Sion,8,0.75
KSante,6,0.667
Smolder,6,0.833
Kassadin,5,1.0
Camille,5,0.8
Neeko,5,0.8
Vex,4,1.0
VelKoz,4,0.25
Draven,4,0.75
Gragas,4,0.75
Nautilus,4,0.75
Ekko,3,0.667
Veigar,3,0.33299999999999996
Nocturne,3,1.0
Zeri,3,0.667
Ziggs,3,0.667
Ornn,3,0.33299999999999996
Urgot,2,1.0
Syndra,2,0.0
Qiyana,2,1.0
Fiora,2,1.0
Talon,2,0.5
Viego,2,0.5
Tryndamere,2,0.0
Morgana,2,0.5
Lulu,2,0.5
Karma,2,0.5
Vladimir,2,0.5
Garen,1,1.0
Ambessa,1,0.0
Mel,1,0.0
Lee Sin,1,0.0
Volibear,1,0.0
Lillia,1,1.0
Taric,1,1.0
Swain,1,0.0
Kalista,1,0.0
Gangplank,1,0.0
Quinn,1,1.0
Fizz,1,0.0
Poppy,1,0.0
Ezreal,1,1.0
