Champion,Game,WinRate
Nautilus,49,0.49
Rakan,47,0.617
Alistar,34,0.529
Rell,30,0.6
Leona,22,0.545
Braum,22,0.773
Lulu,19,0.42100000000000004
Blitzcrank,17,0.765
Renata Glasc,15,0.6
Milio,11,0.455
Nami,9,0.667
Karma,9,0.111
Heimerdinger,9,0.667
Thresh,7,0.429
Pyke,7,0.5710000000000001
Yuumi,6,0.5
Tahm Kench,6,0.833
Poppy,5,0.8
Senna,4,0.5
Neeko,4,0.75
Ashe,3,0.667
Bard,3,1.0
Annie,2,1.0
Sett,2,1.0
Seraphine,2,0.0
Shen,1,0.0
Pantheon,1,0.0
Camille,1,1.0
Elise,1,0.0
Maokai,1,1.0
Ornn,1,1.0
Gragas,1,1.0
Taric,1,0.0
Zyra,1,0.0
Galio,1,0.0
