Champion,Game,WinRate
Renekton,76,0.605
K'Sante,66,0.742
Gnar,62,0.46799999999999997
Jayce,58,0.569
Aatrox,52,0.5579999999999999
Gangplank,49,0.612
Jax,45,0.644
Camille,42,0.5
Gwen,36,0.583
Kennen,31,0.5479999999999999
Rumble,29,0.7240000000000001
Ornn,29,0.44799999999999995
Ryze,27,0.667
Gragas,23,0.435
Sion,23,0.609
Akali,22,0.455
Urgot,14,0.28600000000000003
Lucian,14,0.429
Darius,13,0.5379999999999999
Mordekaiser,13,0.6920000000000001
Udyr,12,0.75
Malphite,11,0.818
Twisted Fate,11,0.818
Aurora,10,0.8
Sylas,9,0.33299999999999996
Vladimir,9,0.667
Fiora,8,0.5
Irelia,8,0.375
Viego,8,0.5
Quinn,8,0.625
Poppy,7,0.7140000000000001
Graves,7,0.5710000000000001
Ambessa,7,1.0
Sett,7,0.429
Kayle,6,0.5
Kalista,5,0.6
Skarner,5,1.0
Maokai,5,0.2
Vayne,5,0.6
Viktor,5,0.0
Shen,4,0.25
Wukong,4,0.5
Nasus,4,0.75
Hecarim,3,0.33299999999999996
Jarvan IV,3,0.0
Kled,3,0.667
Dr. Mundo,3,0.0
Cho'Gath,3,1.0
Tryndamere,3,0.667
Sejuani,3,0.0
Rek'Sai,2,0.0
Nidalee,2,1.0
Tristana,2,1.0
Nocturne,2,1.0
Lee Sin,2,0.5
Akshan,1,0.0
Olaf,1,1.0
Zac,1,1.0
Karma,1,0.0
Corki,1,1.0
Garen,1,1.0
Neeko,1,0.0
Galio,1,1.0
Yasuo,1,0.0
