Champion,Game,WinRate
Ezreal,152,0.5920000000000001
Varus,113,0.637
Xayah,99,0.6970000000000001
Ashe,93,0.645
Jhin,70,0.757
Kalista,68,0.691
Kai'Sa,67,0.612
Aphelios,64,0.75
Zeri,51,0.647
Jinx,50,0.72
Miss Fortune,45,0.622
Lucian,45,0.622
Sivir,41,0.634
Tristana,33,0.515
Senna,27,0.7040000000000001
Caitlyn,22,0.545
Twitch,11,0.727
Vayne,7,0.5710000000000001
Kog'Maw,7,0.28600000000000003
Corki,7,0.7140000000000001
Smolder,5,1.0
Sona,4,0.25
Yasuo,3,0.667
Ziggs,3,0.667
Samira,2,0.5
Nilah,1,1.0
Twisted Fate,1,0.0
