Champion,Game,WinRate
Vi,49,0.5920000000000001
Sejuani,40,0.5
Lee Sin,33,0.485
Graves,27,0.556
Trundle,24,0.542
Wukong,22,0.455
Viego,20,0.65
Xin Zhao,20,0.7
Ivern,17,0.529
Maokai,17,0.529
Volibear,17,0.706
Jarvan IV,17,0.41200000000000003
Poppy,15,0.667
Udyr,13,0.5379999999999999
Qiyana,10,0.9
Rumble,10,0.5
Hecarim,9,0.444
Gragas,9,0.444
Pantheon,8,0.5
Olaf,8,0.875
Nidalee,8,0.625
Skarner,8,0.5
Lillia,8,0.375
Belveth,7,0.5710000000000001
Zyra,7,0.5710000000000001
Naafiri,6,0.5
Rell,6,0.33299999999999996
Morgana,5,0.6
Karthus,5,0.6
Brand,5,0.4
Diana,4,0.5
Taliyah,4,0.5
Elise,4,0.75
Zac,3,0.667
Nocturne,3,0.0
Kindred,2,0.0
Amumu,2,0.0
RekSai,2,0.5
Gwen,1,0.0
Kayn,1,1.0
Sett,1,1.0
Jax,1,0.0
Rengar,1,0.0
