Champion,Game,WinRate
KSante,33,0.485
Gwen,31,0.516
Karma,14,0.7140000000000001
Gnar,14,0.429
Ambessa,13,0.615
Jayce,12,0.41700000000000004
Gragas,11,0.273
Rumble,10,0.6
Akali,10,0.8
Ornn,8,0.375
Twisted Fate,8,0.75
Aurora,8,0.625
Varus,8,0.875
Sejuani,8,0.5
Poppy,7,0.5710000000000001
Zeri,7,0.7140000000000001
Nidalee,6,0.5
Kennen,6,0.5
Camille,6,0.667
Ahri,5,0.2
Sion,5,0.4
Renekton,5,0.4
Irelia,4,0.25
Chogath,4,0.25
Aatrox,4,0.0
Smolder,3,0.33299999999999996
Neeko,3,0.667
Galio,3,0.33299999999999996
Gangplank,3,0.0
Malphite,3,0.667
Yone,3,0.667
Shyvana,2,0.5
Lulu,2,0.0
Udyr,2,0.5
Jax,1,0.0
Vex,1,1.0
Annie,1,0.0
Corki,1,1.0
Skarner,1,1.0
Yasuo,1,1.0
Zac,1,0.0
Fiddlesticks,1,0.0
Lee Sin,1,0.0
Kayle,1,1.0
Lucian,1,0.0
Graves,1,0.0
