Champion,Game,WinRate
Ahri,36,0.528
Azir,31,0.71
Sylas,30,0.5670000000000001
Yone,26,0.5
Ryze,23,0.435
Corki,21,0.47600000000000003
LeBlanc,19,0.474
Akali,18,0.5
Viktor,17,0.588
Taliyah,15,0.667
Lucian,12,0.583
Twisted Fate,11,0.455
Jayce,11,0.364
Tristana,9,0.556
Orianna,9,0.444
Lulu,8,0.75
Sett,8,0.375
Lissandra,6,0.667
Syndra,5,0.4
Lee Sin,5,0.6
Renekton,4,1.0
Galio,4,1.0
Neeko,4,0.75
Yasuo,4,0.5
Irelia,3,1.0
Tryndamere,3,0.33299999999999996
Aurora,3,0.33299999999999996
Kassadin,2,1.0
Zeri,2,0.5
Hwei,2,0.5
Aurelion Sol,2,0.5
Zoe,2,0.5
Veigar,2,0.5
Swain,2,1.0
Gragas,1,1.0
Smolder,1,0.0
Nasus,1,1.0
Cassiopeia,1,1.0
Karma,1,0.0
Vayne,1,0.0
Kaisa,1,0.0
Annie,1,0.0
Ezreal,1,0.0
Zed,1,0.0
