Champion,Game,WinRate
Gnar,64,0.6559999999999999
Atrox,54,0.667
Renekton,47,0.489
Jayce,42,0.619
Ksante,39,0.718
Jax,37,0.8109999999999999
Ornn,31,0.613
Kennen,27,0.63
Gangplank,27,0.7040000000000001
Camille,23,0.696
Gragas,22,0.773
Gwen,21,0.524
Rumble,18,0.778
Akali,14,0.857
Irelia,12,0.5
Sett,10,0.4
Karma,8,0.75
Sejuani,8,0.75
Fiora,7,0.7140000000000001
Lee Sin,7,0.429
Mordekaiser,7,0.5710000000000001
Quinn,7,0.7140000000000001
Graves,6,0.833
Skarner,6,0.667
Rexai,6,0.5
Sion,5,0.4
Viego,5,0.4
Wukong,5,0.8
Vladimir,5,0.2
Twisted Fate,4,1.0
Tryndamere,4,0.75
Udyr,4,1.0
Maokai,3,0.667
Malphite,3,0.0
Lucian,2,0.5
Volibear,2,0.0
Kayle,2,0.5
Urgot,2,0.0
Nocturne,2,1.0
Nico,2,1.0
Sylas,2,0.5
Shen,2,0.5
Akshan,2,0.5
