Champion,Game,WinRate
Azir,183,0.6829999999999999
Orianna,98,0.6940000000000001
Corki,80,0.6629999999999999
Ryze,76,0.632
Ahri,69,0.696
LeBlanc,64,0.813
Galio,55,0.636
Taliyah,50,0.68
Lissandra,49,0.7959999999999999
Viktor,47,0.745
Lulu,35,0.5710000000000001
Twisted Fate,34,0.706
Zoe,33,0.5760000000000001
Akali,33,0.667
Kassadin,32,0.625
Cassiopeia,32,0.75
Sylas,27,0.667
Tristana,26,0.5379999999999999
Karma,26,0.423
Neeko,22,0.636
Gragas,18,0.833
Jayce,16,0.625
Yasuo,16,0.563
Syndra,14,0.7859999999999999
Annie,12,0.75
Ezreal,12,0.833
Zed,12,0.917
Nidalee,12,0.75
Irelia,11,0.545
Lucian,11,0.727
Anivia,10,0.8
Fizz,10,0.9
Vladimir,10,0.3
Zilean,10,0.9
Malzahar,10,0.7
