Champion,Game,WinRate
Nautilus,62,0.629
Tahm Kench,51,0.745
Thresh,50,0.64
Leona,50,0.58
Braum,46,0.63
Rakan,40,0.5
Nami,35,0.743
Alistar,35,0.629
Renata Glasc,33,0.818
Lulu,29,0.517
Yuumi,28,0.75
Rell,26,0.423
Bard,21,0.762
Karma,18,0.556
Pyke,17,0.706
Lux,16,0.813
Ashe,15,0.867
Senna,11,0.545
Morgana,11,0.727
Gragas,10,0.7
Nico,9,0.889
Ornn,8,1.0
Milio,7,0.7140000000000001
Kalista,6,1.0
Pantheon,6,0.33299999999999996
Galio,6,0.5
Blitzcrank,6,0.33299999999999996
Zilean,6,0.5
Taric,5,0.6
Sett,5,0.6
Trundle,5,0.6
Maokai,4,0.75
Rumble,4,0.75
Sejuani,4,0.5
Poppy,4,0.5
Soraka,4,0.5
Seraphine,3,0.33299999999999996
Camille,3,0.33299999999999996
Amumu,3,0.33299999999999996
Caitlyn,3,1.0
Volibear,2,0.5
Aphelios,2,0.5
Lee Sin,2,0.5
Sion,2,0.5
Jhin,2,1.0
Shen,2,0.0
Wukong,2,0.5
