Champion,PickBanRate,WinRate
Vi,0.5770000000000001,0.273
Poppy,0.423,0.6920000000000001
Xin Zhao,0.39399999999999996,0.467
Trundle,0.35200000000000004,0.5
Wukong,0.324,0.7140000000000001
Pantheon,0.324,0.353
Naafri,0.29600000000000004,0.33299999999999996
Skarner,0.239,0.636
Sejuani,0.225,0.545
Lillia,0.16899999999999998,0.5
Jax,0.16899999999999998,1.0
Jarvan IV,0.113,0.5
Lee Sin,0.099,0.4
Viego,0.099,0.5
Zed,0.055999999999999994,1.0
Nocturne,0.055999999999999994,0.667
Zyra,0.055999999999999994,0.5
Kindred,0.055999999999999994,0.0
Maokai,0.042,0.33299999999999996
Diana,0.027999999999999997,0.0
Volibear,0.027999999999999997,1.0
