Champion,PickBanRate,WinRate
Gwen,0.7,0.0
Rumble,0.5329999999999999,0.2
Renekton,0.36700000000000005,0.857
Sion,0.33299999999999996,0.16699999999999998
Yorick,0.33299999999999996,0.2
Jayce,0.33299999999999996,0.5
Sylas,0.3,0.0
Ambessa,0.2,1.0
Ryze,0.2,0.0
Ornn,0.16699999999999998,1.0
Gnar,0.16699999999999998,0.6
Aatrox,0.133,0.5
Cho'Gath,0.1,0.667
K'Sante,0.1,0.0
Gragas,0.1,1.0
Galio,0.1,0.5
Sett,0.1,1.0
Jax,0.067,0.0
Shen,0.067,0.0
Camile,0.067,-1.0
Mordekaiser,0.033,1.0
Nidalee,0.033,0.0
Riven,0.033,0.0
Olaf,0.033,-1.0
