Champion,PickBanRate,WinRate
Aatrox,0.18119999999999997,0.4682
Riven,0.2193,0.5261
Shen,0.1608,0.5012
Dr. Mundo,0.1615,0.478
Ambessa,0.20129999999999998,0.521
Fiora,0.1757,0.5139
Urgot,0.088,0.5118
Sett,0.0694,0.5
Yorick,0.1859,0.4925
Jayce,0.15,0.5194
Vladimir,0.1394,0.49340000000000006
Renekton,0.12340000000000001,0.4631
Cho'Gath,0.0517,0.5128
Gwen,0.29669999999999996,0.5057
Jax,0.166,0.508
Nasus,0.067,0.5128
Ornn,0.0418,0.5063
Yone,0.0713,0.4568
Sion,0.044300000000000006,0.473
Irelia,0.0988,0.507
Gragas,0.0503,0.532
Camille,0.055099999999999996,0.5086999999999999
K'Sante,0.0498,0.5217
Darius,0.0882,0.4806
Garen,0.0544,0.4671
Volibear,0.0621,0.45659999999999995
Malphite,0.0801,0.4824
Yasuo,0.2297,0.5293
Akali,0.1282,0.5041
Singed,0.0344,0.5251
Rumble,0.034699999999999995,0.48229999999999995
Mordekaiser,0.0332,0.48479999999999995
Pantheon,0.13679999999999998,0.5304
Gangplank,0.0287,0.5092
Teemo,0.0568,0.5288
Warwick,0.034300000000000004,0.48869999999999997
Kayle,0.0361,0.4894
Ryze,0.0424,0.43829999999999997
Gnar,0.026,0.4625
Olaf,0.0332,0.551
Tryndamere,0.052500000000000005,0.4867
Kennen,0.0296,0.54
Quinn,0.0258,0.5331
Illaoi,0.027700000000000002,0.493
Poppy,0.0911,0.5184000000000001
Kled,0.0181,0.502
Trundle,0.0171,0.4878
Sylas,0.0791,0.4128
Rengar,0.1066,0.564
Udyr,0.0485,0.4144
Heimerdinger,0.015700000000000002,0.5503
Wukong,0.019799999999999998,0.5342
Zed,0.1911,0.5196999999999999
Zac,0.0421,0.5897
Azir,0.0338,0.5577000000000001
