Champion,WinRate,PickRate,BanRate
Jayce,51.12,11.89,39.55
Aatrox,48.45,9.47,4.34
Sion,49.61,7.93,1.23
Ambessa,50.35,7.35,8.01
Shen,51.61,7.07,5.27
Yorick,48.48,6.3,22.59
Renekton,50.47,6.94,4.55
K'Sante,47.86,6.98,2.65
Jax,50.08,6.49,7.55
Gangplank,51.68,6.14,4.61
Gwen,51.77,5.53,7.22
Fiora,51.8,5.44,6.13
Rumble,50.82,4.97,3.83
Irelia,50.05,4.39,16.71
Gnar,48.22,3.8,1.85
Yone,43.56,3.51,2.57
Darius,47.87,3.33,5.43
Sett,50.96,3.26,0.64
Camille,50.41,3.17,0.21
Kennen,52.73,3.11,2.3
Riven,52.45,3.12,0.49
Vladimir,50.84,2.96,2.43
Warwick,52.52,2.9,4.85
Sylas,48.35,2.34,12.85
Pantheon,52.35,1.74,29.3
Gragas,49.72,2.72,0.26
Yasuo,48.62,2.42,10.85
Nidalee,47.18,2.37,11.58
Poppy,50.7,2.16,14.94
Olaf,55.0,2.56,1.41
Teemo,53.01,2.46,1.53
Ornn,48.66,2.25,0.13
Dr. Mundo,50.78,2.19,0.19
Singed,52.44,2.07,0.69
Malphite,49.36,2.02,1.67
Ryze,49.78,1.96,1.52
Volibear,48.72,1.93,0.42
Urgot,53.77,1.85,0.27
Tryndamere,51.24,1.82,1.22
Mordekaiser,46.07,1.84,0.11
Cassiopeia,53.61,1.7,1.85
Quinn,52.71,1.67,0.8
Varus,50.09,1.25,6.96
Nasus,54.46,1.37,0.18
Udyr,49.19,1.32,0.24
Garen,50.42,1.28,0.4
Illaoi,53.37,1.15,0.24
Akali,48.86,1.03,5.55
Nocturne,50.51,1.06,1.23
Cho'Gath,52.37,1.09,0.12
Kayle,50.0,1.05,0.12
Zac,53.72,0.95,1.83
Viktor,47.29,0.91,3.79
Kled,53.17,0.98,0.21
Galio,46.38,0.89,4.65
Wukong,52.08,0.93,0.24
Rengar,54.17,0.93,1.21
Aurora,49.26,0.88,1.9
Heimerdinger,51.05,0.82,1.11
Sejuani,46.96,0.78,0.06
Azir,47.88,0.56,1.37
Vayne,49.6,0.53,0.26
